id,案件名称,来源类型,来源作品/事件,作者/创作者,地区,年代,案件状态,一句话简介,录入状态,难度综合
case-133,唐人街探案,影视,电影《唐人街探案》,陈思诚,中国,2015年,已破案,泰国曼谷发生黄金失窃案和杀人案，结巴少年秦风与表舅唐仁被卷入案件，他们在调查中发现真凶是一个利用日记操纵养父杀人的女孩思诺，而她的完美犯罪逃脱了法律制裁。,故事完成,5.0
case-041,无证之罪,影视,无证之罪,,中国,当代（1980后）,已破案,前法医为了寻找失踪的妻女，制造了一系列'雪人杀人案'，所有现场都没有证据，只有一张'请来抓我'的纸条。,待录入,4.3
case-040,沉默的真相,影视,沉默的真相,,中国,当代（1980后）,已破案,检察官江阳为了平反一起冤案，付出了十年青春、爱情、事业甚至生命，最终用自己的死引发关注。,待录入,4.5
case-135,目击者之追凶,影视,电影《目击者之追凶》,程伟豪,中国,2017年,已破案,记者王逸齐在一场车祸中发现自己的车是一辆还魂车（事故车），他开始调查九年前的一场离奇车祸，逐渐揭开了一个涉及绑架、谋杀、腐败和多重真相的黑暗故事。,故事完成,5.0
case-136,血观音,影视,电影《血观音》,杨雅喆,中国,2017年,已破案,台湾官商勾结的黑暗世界中，棠夫人带着两个女儿周旋于政商名流之间，通过操纵、谋杀和权色交易来达到自己的目的，最后揭示了一个跨越多年的复仇和权力斗争的悲剧。,故事完成,5.0
case-134,误杀,影视,电影《误杀》,柯汶利,中国,2019年,已破案,父亲李维杰为了保护误杀警察局长儿子的大女儿，利用电影里学来的反侦察手法，制造了完美的不在场证明，与警察局长拉韫展开了一场高智商的较量。,故事完成,5.0
case-039,隐秘的角落,影视,隐秘的角落,,中国,当代（1980后）,已破案,三个孩子在景区游玩时无意间拍摄到了一次谋杀，由此展开了一场与凶手的周旋和一连串的死亡。,待录入,4.8
case-038,告白,影视,告白,,日本,当代（1980后）,已破案,女教师在结业式上告白：她的女儿被班上两名学生杀害，她已经在牛奶中注入了艾滋病毒作为复仇。,待录入,4.3
case-130,怒,影视,电影《怒》,李相日,日本,2016年,已破案,东京发生一起残忍杀人案，凶手在现场留下一个'怒'字后逃亡。一年后，三个地方出现了三个身份不明的神秘男子，他们都可能是凶手，故事探讨了信任、怀疑和人性的复杂。,故事完成,5.0
case-132,愚行录,影视,电影《愚行录》,石川庆,日本,2017年,已破案,精英上班族田向浩树一家被残忍杀害，记者田中武志调查此案，逐渐揭开田向和他的妻子友季惠黑暗的过去，最后发现真凶是田中自己的妹妹光子，而案件背后隐藏着乱伦和虐待的悲剧。,故事完成,5.0
